Term,Feature,Core ($$3.19/mo),Launch ($$4.99/mo),Power ($$4.99/mo),Pro ($$10.99/mo),Core ($$2.99/mo),Launch ($$4.79/mo),Power ($$4.79/mo),Pro ($$10.79/mo),Core (N/A),Launch ($$15.99/mo),Power ($$15.99/mo),Pro ($$19.99/mo)
3 Year,Websites Supported,2 Websites,25 Websites,Unlimited Websites,Unlimited Websites,,,,,,,,
3 Year,Disk Space,100 GB SSD,Unlimited NVMe SSD,Unlimited NVMe SSD,Unlimited NVMe SSD,,,,,,,,
3 Year,Bandwidth,Unlimited,Unlimited,Unlimited,Unlimited,,,,,,,,
3 Year,Email Accounts,10 Email Addresses,Unlimited Email Addresses,Unlimited Email Addresses,Unlimited Email Addresses,,,,,,,,
3 Year,Dedicated IP Address,Available,Available,Available,Included,,,,,,,,
3 Year,No-Downtime Website Migration,Available,Available,Available,Available,,,,,,,,
3 Year,UltraStackOptimized Performance,2x Speed and Performance,6X UltraStack Speed & Performance,12X UltraStack Speed & Performance,20X UltraStack Speed & Performance,,,,,,,,
3 Year,Free SSL,Included,Included,Included,Included,,,,,,,,
3 Year,eCommerce Ready,Not Included,Not Included,Included,Included,,,,,,,,
3 Year,Pro Level Support,Not Included,Included,Included,Included,,,,,,,,
3 Year,Advanced Caching,Not Included,Not Included,Included,Included,,,,,,,,
3 Year,BoldGrid Website Builder,Included,Included,Included,Included,,,,,,,,
3 Year,Parked Domains,1,Unlimited,Unlimited,Unlimited,,,,,,,,
3 Year,Sub Domains,Unlimited,Unlimited,Unlimited,Unlimited,,,,,,,,
3 Year,MySQL& PostgreSQL Databases,40,Unlimited,Unlimited,Unlimited,,,,,,,,
3 Year,Email Storage per Inbox,1 GB,5GB,10 GB,20 GB,,,,,,,,
3 Year,Hosting Plus,Included,Included,Included,Included,,,,,,,,
3 Year,Choice of Data Center,Included,Included,Included,Included,,,,,,,,
3 Year,"Phone, Chat and Ticket Support",Chat and Ticket Only,Chat and Ticket Only,Included,Included,,,,,,,,
1 Year,Websites Supported,,,,,2 Websites,25 Websites,Unlimited Websites,Unlimited Websites,,,,
1 Year,Disk Space,,,,,100 GB SSD,Unlimited NVMe SSD,Unlimited NVMe SSD,Unlimited NVMe SSD,,,,
1 Year,Bandwidth,,,,,Unlimited,Unlimited,Unlimited,Unlimited,,,,
1 Year,Email Accounts,,,,,10 Email Addresses,Unlimited Email Addresses,Unlimited Email Addresses,Unlimited Email Addresses,,,,
1 Year,Dedicated IP Address,,,,,Available,Available,Available,Included,,,,
1 Year,No-Downtime Website Migration,,,,,Available,Available,Available,Available,,,,
1 Year,UltraStackOptimized Performance,,,,,2x Speed and Performance,6X UltraStack Speed & Performance,12X UltraStack Speed & Performance,20X UltraStack Speed & Performance,,,,
1 Year,Free SSL,,,,,Included,Included,Included,Included,,,,
1 Year,eCommerce Ready,,,,,Not Included,Not Included,Included,Included,,,,
1 Year,Pro Level Support,,,,,Not Included,Included,Included,Included,,,,
1 Year,Advanced Caching,,,,,Not Included,Not Included,Included,Included,,,,
1 Year,BoldGrid Website Builder,,,,,Included,Included,Included,Included,,,,
1 Year,Parked Domains,,,,,1,Unlimited,Unlimited,Unlimited,,,,
1 Year,Sub Domains,,,,,Unlimited,Unlimited,Unlimited,Unlimited,,,,
1 Year,MySQL& PostgreSQL Databases,,,,,40,Unlimited,Unlimited,Unlimited,,,,
1 Year,Email Storage per Inbox,,,,,1 GB,5GB,10 GB,20 GB,,,,
1 Year,Hosting Plus,,,,,Included,Included,Included,Included,,,,
1 Year,Choice of Data Center,,,,,Included,Included,Included,Included,,,,
1 Year,"Phone, Chat and Ticket Support",,,,,Chat and Ticket Only,Chat and Ticket Only,Included,Included,,,,
1 Month,Websites Supported,,,,,,,,,2 Websites,25 Websites,Unlimited Websites,Unlimited Websites
1 Month,Disk Space,,,,,,,,,100 GB SSD,Unlimited NVMe SSD,Unlimited NVMe SSD,Unlimited NVMe SSD
1 Month,Bandwidth,,,,,,,,,Unlimited,Unlimited,Unlimited,Unlimited
1 Month,Email Accounts,,,,,,,,,10 Email Addresses,Unlimited Email Addresses,Unlimited Email Addresses,Unlimited Email Addresses
1 Month,Dedicated IP Address,,,,,,,,,Available,Available,Available,Included
1 Month,No-Downtime Website Migration,,,,,,,,,Available,Available,Available,Available
1 Month,UltraStackOptimized Performance,,,,,,,,,2x Speed and Performance,6X UltraStack Speed & Performance,12X UltraStack Speed & Performance,20X UltraStack Speed & Performance
1 Month,Free SSL,,,,,,,,,Included,Included,Included,Included
1 Month,eCommerce Ready,,,,,,,,,Not Included,Not Included,Included,Included
1 Month,Pro Level Support,,,,,,,,,Not Included,Included,Included,Included
1 Month,Advanced Caching,,,,,,,,,Not Included,Not Included,Included,Included
1 Month,BoldGrid Website Builder,,,,,,,,,Included,Included,Included,Included
1 Month,Parked Domains,,,,,,,,,1,Unlimited,Unlimited,Unlimited
1 Month,Sub Domains,,,,,,,,,Unlimited,Unlimited,Unlimited,Unlimited
1 Month,MySQL& PostgreSQL Databases,,,,,,,,,40,Unlimited,Unlimited,Unlimited
1 Month,Email Storage per Inbox,,,,,,,,,1 GB,5GB,10 GB,20 GB
1 Month,Hosting Plus,,,,,,,,,Included,Included,Included,Included
1 Month,Choice of Data Center,,,,,,,,,Included,Included,Included,Included
1 Month,"Phone, Chat and Ticket Support",,,,,,,,,Chat and Ticket Only,Chat and Ticket Only,Included,Included
